time,X,Y,speed,acc,real_acc
0,2227405.604,934267.754,0.13,0,0
1,2227405.538,934267.6379,0.13,0,0
2,2227405.464,934267.521,0.14,0,0.01
3,2227405.374,934267.4027,0.15,0.02,0.01
4,2227405.262,934267.2826,0.16,0.02,0.01
5,2227405.121,934267.16,0.19,0.03,0.03
6,2227404.944,934267.0345,0.22,0.04,0.03
7,2227404.724,934266.9054,0.26,0.04,0.04
8,2227404.452,934266.7722,0.3,0.05,0.04
9,2227404.124,934266.6344,0.36,0.06,0.06
10,2227403.73,934266.4924,0.42,0.06,0.06
11,2227403.256,934266.351,0.49,0.08,0.07
12,2227402.69,934266.2158,0.58,0.1,0.09
13,2227402.015,934266.0926,0.69,0.1,0.11
14,2227401.218,934265.9872,0.8,0.13,0.11
15,2227400.284,934265.9052,0.94,0.13,0.14
16,2227399.198,934265.8525,1.09,0.16,0.15
17,2227397.946,934265.8346,1.25,0.16,0.16
18,2227396.517,934265.8579,1.43,0.18,0.18
19,2227394.911,934265.9299,1.61,0.19,0.18
20,2227393.129,934266.0589,1.79,0.18,0.18
21,2227391.175,934266.253,1.96,0.18,0.17
22,2227389.051,934266.5202,2.14,0.19,0.18
23,2227386.761,934266.8688,2.32,0.19,0.18
24,2227384.307,934267.3069,2.49,0.18,0.17
25,2227381.698,934267.8453,2.66,0.19,0.17
26,2227378.966,934268.5057,2.81,0.17,0.15
27,2227376.151,934269.3122,2.93,0.17,0.12
28,2227373.293,934270.2892,3.02,0.18,0.09
29,2227370.429,934271.4611,3.09,0.19,0.07
30,2227367.599,934272.852,3.15,0.22,0.06
31,2227364.843,934274.4863,3.2,0.25,0.05
32,2227362.197,934276.3863,3.26,0.29,0.06
33,2227359.692,934278.5661,3.32,0.31,0.06
34,2227357.354,934281.0379,3.4,0.34,0.08
35,2227355.213,934283.8138,3.51,0.37,0.11
36,2227353.297,934286.906,3.64,0.38,0.13
37,2227351.632,934290.3265,3.8,0.42,0.16
38,2227350.248,934294.0875,4.01,0.44,0.21
39,2227349.164,934298.1927,4.25,0.46,0.24
40,2227348.369,934302.6114,4.49,0.42,0.24
41,2227347.842,934307.3044,4.72,0.38,0.23
42,2227347.563,934312.2325,4.94,0.35,0.22
43,2227347.513,934317.3567,5.12,0.3,0.18
44,2227347.671,934322.6376,5.28,0.26,0.16
45,2227348.019,934328.0361,5.41,0.22,0.13
46,2227348.534,934333.5121,5.5,0.19,0.09
47,2227349.198,934339.0213,5.55,0.14,0.05
48,2227349.99,934344.5184,5.55,0.13,0
49,2227350.89,934349.9583,5.51,0.13,-0.04
50,2227351.877,934355.2956,5.43,0.13,-0.08
51,2227352.931,934360.4852,5.3,0.16,-0.13
52,2227354.031,934365.4818,5.12,0.2,-0.18
53,2227355.164,934370.246,4.9,0.24,-0.22
